:Predicted_Sunspot_Numbers_and_Radio_Flux: Predict.txt
:Created: 2015 Oct 05 1800 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center (SWPC).
# Please send comments and suggestions to swpc.webmaster@noaa.gov
#
# Sunspot Number: S.I.D.C. Brussels International Sunspot Number.
# 10.7cm Radio Flux value: Penticton, B.C. Canada.
# Predicted values are based on the consensus of the Solar Cycle 24 Prediction Panel.
#
# See the README3 file for further information.
#
# Missing or not applicable data:  -1
#
#         Predicted Sunspot Number And Radio Flux Values
#                     With Expected Ranges
#
#         -----Sunspot Number------  ----10.7 cm Radio Flux----
# YR MO   PREDICTED    HIGH    LOW   PREDICTED    HIGH    LOW
#--------------------------------------------------------------
2015 04        53.0    54.0    52.0      127.6   128.6   126.6
2015 05        52.2    54.2    50.2      123.9   124.9   122.9
2015 06        50.6    53.6    47.6      119.8   121.8   117.8
2015 07        49.0    54.0    44.0      116.3   119.3   113.3
2015 08        48.6    53.6    43.6      113.8   117.8   109.8
2015 09        49.3    55.3    43.3      111.8   115.8   107.8
2015 10        49.4    56.4    42.4      109.7   114.7   104.7
2015 11        48.5    55.5    41.5      107.8   113.8   101.8
2015 12        48.0    56.0    40.0      105.9   112.9    98.9
2016 01        48.2    57.2    39.2      104.5   112.5    96.5
2016 02        48.4    57.4    39.4      103.6   111.6    95.6
2016 03        48.1    58.1    38.1      102.9   111.9    93.9
2016 04        47.0    57.0    37.0      101.8   110.8    92.8
2016 05        45.2    55.2    35.2      100.2   109.2    91.2
2016 06        43.6    53.6    33.6       98.7   107.7    89.7
2016 07        42.0    52.0    32.0       97.2   106.2    88.2
2016 08        40.4    50.4    30.4       95.8   104.8    86.8
2016 09        38.8    48.8    28.8       94.3   103.3    85.3
2016 10        37.3    47.3    27.3       92.9   101.9    83.9
2016 11        35.7    45.7    25.7       91.5   100.5    82.5
2016 12        34.3    44.3    24.3       90.2    99.2    81.2
2017 01        32.8    42.8    22.8       88.8    97.8    79.8
2017 02        31.4    41.4    21.4       87.5    96.5    78.5
2017 03        30.0    40.0    20.0       86.3    95.3    77.3
2017 04        28.7    38.7    18.7       85.0    94.0    76.0
2017 05        27.4    37.4    17.4       83.8    92.8    74.8
2017 06        26.1    36.1    16.1       82.6    91.6    73.6
2017 07        24.9    34.9    14.9       81.5    90.5    72.5
2017 08        23.7    33.7    13.7       80.4    89.4    71.4
2017 09        22.5    32.5    12.5       79.3    88.3    70.3
2017 10        21.4    31.4    11.4       78.3    87.3    69.3
2017 11        20.3    30.3    10.3       77.3    86.3    68.3
2017 12        19.2    29.2     9.2       76.4    85.4    67.4
2018 01        18.2    28.2     8.2       75.4    84.4    66.4
2018 02        17.2    27.2     7.2       74.5    83.5    65.5
2018 03        16.3    26.3     6.3       73.7    82.7    64.7
2018 04        15.4    25.4     5.4       72.8    81.8    63.8
2018 05        14.5    24.5     4.5       72.1    81.1    63.1
2018 06        13.7    23.7     3.7       71.3    80.3    62.3
2018 07        12.9    22.9     2.9       70.6    79.6    61.6
2018 08        12.2    22.2     2.2       69.9    78.9    60.9
2018 09        11.5    21.5     1.5       69.2    78.2    60.2
2018 10        10.8    20.8     0.8       68.6    77.6    60.0
2018 11        10.1    20.1     0.1       68.0    77.0    60.0
2018 12         9.5    19.5     0.0       67.4    76.4    60.0
2019 01         8.9    18.9     0.0       66.9    75.9    60.0
2019 02         8.3    18.3     0.0       66.3    75.3    60.0
2019 03         7.8    17.8     0.0       65.9    74.9    60.0
2019 04         7.3    17.3     0.0       65.4    74.4    60.0
2019 05         6.8    16.8     0.0       65.0    74.0    60.0
2019 06         6.4    16.4     0.0       64.5    73.5    60.0
2019 07         5.9    15.9     0.0       64.1    73.1    60.0
2019 08         5.5    15.5     0.0       63.8    72.8    60.0
2019 09         5.1    15.1     0.0       63.4    72.4    60.0
2019 10         4.8    14.8     0.0       63.1    72.1    60.0
2019 11         4.4    14.4     0.0       62.8    71.8    60.0
2019 12         4.1    14.1     0.0       62.5    71.5    60.0
